WXCE AM	Amery	WI	1260
WACD FM	Antigo	WI	106.1
WHBY AM	Appleton	WI	1150
WBEV AM	Beaver Dam	WI	1430
WISS AM	Berlin	WI	1100
WWIS FM	Black River Falls	WI	99.7
WATQ FM	Eau Claire	WI	106.7
KFIZ AM	Fond du Lac	WI	1450
WFAW AM	Fort Atkinson	WI	940
WTAQ AM	Green Bay	WI	1360
WTAQ FM	Green Bay	WI	97.5
WRLS FM	Hayward	WI	92.3
WNXR FM	Iron River	WI	107.3
WCLO AM	Janesville	WI	1230
WKTY AM	La Crosse	WI	580
WGLR AM	Lancaster	WI	1280
WIBA AM	Madison	WI	1310
WOMT AM	Manitowoc	WI	1240
WMAM AM	Marinette	WI	570
WIGM AM	Medford	WI	1490
WTMJ AM	Milwaukee	WI	620
WCQM FM	Park Falls	WI	98.3
WPDR AM	Portage	WI	1350
WQPC FM	Prairie du Chien	WI	94.3
WRDB AM	Reedsburg	WI	1400
WCYE FM	Rhinelander	WI	93.7
WJMC AM	Rice Lake	WI	1240
WRCO AM	Richland Center	WI	1450
WEVR AM	River Falls	WI	1550
WEVR FM	River Falls	WI	106.3
WTCH AM	Shawano	WI	960
WHBL AM	Sheboygan	WI	1330
WSAU FM	Stevens Point	WI	99.9
WDOR FM	Sturgeon Bay	WI	93.9
WDUX FM	Waupaca	WI	92.7
WSAU AM	Wausau	WI	550
WJMS AM	Ironwood	MI	590
